,antibody,vir_num,IC50_mean,IC50_std
0,PG9,810,14.013070298765435,29.908241974630183
1,10-1074,865,28.666082115976877,40.83973985835159
2,PGT121,1061,23.79581506927427,36.23962846733157
3,b12,867,56.10710891014995,51.43667552133533
4,2G12,906,63.328439718543045,39.90970927142905
5,3BNC117,901,7.242303454384017,19.239300790251605
6,PGDM1400,812,23.367517080431032,41.73353010596197
7,2F5,884,43.43818882013574,42.4810632796499
8,VCR01,1059,7.473580166194523,19.425743540961633
9,4E10,884,10.631642630316742,19.89616896289458
